id,ic_number,password,income,individual_relief,spouse_relief,child_relief,num_children,medical_relief,lifestyle_relief,education_relief,parental_relief,total_relief,chargeable_income,tax_payable
Ali_Ahmad,850212105522,5522,60000.00,9000.0,4000.0,8000.0,1,2500.0,2500.0,0.0,0.0,26000.0,34000.00,570.00
Siti_Sarah,920515146633,6633,48000.00,9000.0,0.0,0.0,0,1200.0,2500.0,5000.0,0.0,17700.0,30300.00,459.00
Tan_Wei_Hong,781123078899,8899,120000.00,9000.0,4000.0,16000.0,2,5000.0,2500.0,0.0,3000.0,39500.0,80500.00,5695.00
Muthu_Samy,880707054411,4411,35000.00,9000.0,0.0,0.0,0,0.0,1000.0,0.0,0.0,10000.0,25000.00,300.00
Jessica_Lim,950101121234,1234,85000.00,9000.0,0.0,0.0,0,3000.0,2500.0,7000.0,0.0,21500.0,63500.00,3685.00
Rizwan_Bin_Rosli,800404019988,9988,250000.00,9000.0,4000.0,24000.0,3,8000.0,2500.0,0.0,5000.0,52500.0,197500.00,32900.00
Nurul_Ain,991231037744,7744,28000.00,9000.0,0.0,0.0,0,500.0,1500.0,0.0,0.0,11000.0,17000.00,120.00
David_Teoh,650315082211,2211,550000.00,9000.0,4000.0,0.0,0,8000.0,2500.0,0.0,5000.0,28500.0,521500.00,115990.00
Fatiman_Yusof,890909023366,3366,72000.00,9000.0,0.0,8000.0,1,1500.0,2000.0,0.0,2000.0,22500.0,49500.00,1470.00
Jason_Khoo,900120101122,1122,42000.00,9000.0,0.0,0.0,0,0.0,2500.0,0.0,0.0,11500.0,30500.00,465.00
